Product ID,Department ID,Category ID,Product Name,Price,Image Link
1,1,1,"Ticonderoga Wooden Pencil, 2.2mm, #2 Soft Lead, 96/Pack",15.19,https://www.staples-3p.com/s7/is/image/Staples/372E4DA9-88DD-4EBF-89BBFFC8852CD969_sc7?wid=700&hei=700
2,1,1,"BIC Xtra Strong Mechanical Pencils, 0.9mm, #2 Hard Lead, 24/Pack",5.99,https://www.staples-3p.com/s7/is/image/Staples/D5AA5C1A-B3A6-42EB-90386B46D8401892_sc7?wid=700&hei=700
3,1,1,"Ticonderoga Pre-Sharpened Wooden Pencil, 2.2mm, #2 Soft Lead, 18/Pack",6.99,https://www.staples-3p.com/s7/is/image/Staples/42511C4C-95D1-41B2-BCC9AA58E69BC20B_sc7?wid=700&hei=700
4,1,1,"BIC Xtra-Smooth Mechanical Pencil, 0.7mm, #2 Medium Lead, 40/Pack",10.89,https://i5.walmartimages.com/seo/BIC-Xtra-Smooth-Mechanical-Pencils-with-Erasers-40-Count-Pack-Bulk-Mechanical-Pencils-for-School-Supplies_63d1c1e3-9f65-458e-b04d-7b0db5ffa2cd.cdb04f8fb441c0b8707fd67f4c20c895.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF
5,1,1,"BIC Xtra Sparkle Mechanical Pencils, 0.7mm, #2 Hard Lead, 24/Pack",5.99,https://i5.walmartimages.com/seo/BIC-Xtra-Sparkle-No-2-Mechanical-Pencils-with-Erasers-Medium-Point-0-7mm-24-Count_2e2cb74f-8ada-478f-934e-9ee7d75fb278.b007f4acfc2ea7b65fc0e7c701e62e28.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF
6,1,2,"Zebra Z-Grip Retractable Ballpoint Pens, Medium Point, 1.0mm, Black Ink, 24/Pack",9.99,https://www.staples-3p.com/s7/is/image/Staples/693ED12E-7DBA-400D-AADEC3B2A2146FCC_sc7?wid=700&hei=700
7,1,2,"BIC Soft Feel Retractable Ballpoint Pen, Medium Point, 1.0mm, Assorted Ink, 36 Pack",14.09,https://www.staples-3p.com/s7/is/image/Staples/5C9582FD-4E22-4EEE-B475483F2982B090_sc7?wid=700&hei=700
8,1,2,"Zebra Z-Grip Retractable Ballpoint Pens, Medium Point, 1.0mm, Blue Ink, 24/Pack",9.99,https://www.staples-3p.com/s7/is/image/Staples/s1155023_sc7?wid=700&hei=700
9,1,2,"Sharpie S-Gel Retractable Gel Pen, Medium Point, Black Ink, Dozen",14.99,https://www.staples-3p.com/s7/is/image/Staples/B533D54A-EC2D-4175-B71742A958569829_sc7?wid=700&hei=700
10,1,2,"Sharpie S-Gel Retractable Gel Pen, Medium Point, Assorted Ink, Dozen",16.49,https://www.staples-3p.com/s7/is/image/Staples/CC77743E-E8A2-48DA-95BCE2B40DC23988_sc7?wid=700&hei=700
